Status,Id,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id
,824,0,0,0,0,0,1,1,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,866,0,0,0,0,0,1,1,0,0,0.3,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0.4
,875,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.5,0.3,0.3,0.1,0.2,0.1
,877,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,908,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.4,0.3,0.2,0.4,0.2,0.4
,1037,0,0,0,0,0,1,1,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.1
,1047,0,0,0,0,0,1,1,0,0,0.3,0.5,0.2,0.4,0.3,0.2,0.1,0.2,0.1
,1137,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.3,0.4,0.5,0.2,0.4
,1175,0,0,0,0,0,0,0,0,0,0.3,0.5,0.2,0.4,0.3,0.2,0.5,0.2,0.4
0,1252,0,1,0,0,0,1,1,1,0,0.3,0.2,0.4,0.3,0.3,0.3,0.5,0.2,0.4
0,1254,0,0,0,0,0,0,0,0,0,0.3,0.5,0.3,0.4,0.3,0.3,0.2,0.2,0.4
,1329,0,0,0,0,0,0,0,0,0,0.3,0.4,0.2,0.4,0.3,0.2,0.5,0.2,0.4
,1331,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.5,0.3,0.2,0.3,0.2,0.4
,1464,0,1,0,0,0,0,0,0,0,0.4,0.6,0.3,0.4,0.3,0.3,0.5,0.2,0.4
,1489,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.3
,1582,0,0,0,0,0,1,1,0,0,0.3,0.6,0.3,0.3,0.3,0.3,0.1,0.2,0.1
,1588,0,0,0,0,0,1,1,1,1,0.3,0.3,0.2,0.4,0.3,0.3,0.5,0.2,0.4
0,1668,0,1,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,1697,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,1763,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.2,0.4,0.1,0.6,0.1
,1844,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,1845,0,0,0,0,0,1,0,1,1,0.2,0.2,0.2,0.5,0.4,0.2,0.5,0.2,0.4
0,2002,0,1,0,0,0,1,0,1,0,0.3,0.2,0.4,0.4,0.3,0.2,0.1,0.2,0.1
,2078,0,0,0,0,0,1,1,0,0,0.3,0.4,0.4,0.4,0.2,0.2,0.5,0.3,0.4
,2185,0,0,0,0,0,0,1,1,0,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.4
1,2288,0,0,0,0,0,1,0,0,1,0.3,0.2,0.3,0.4,0.3,0.2,0.5,0.2,0.4
,2440,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.4,0.4,0.2,0.3,0.2,0.4
,2498,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.4,0.2,0.2,0.5,0.2,0.4
,2525,0,1,0,0,0,1,1,0,0,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.6,0.3
0,2543,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,2655,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.4,0.4,0.2,0.4,0.2,0.4
,2733,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1
0,2748,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.4
,2827,0,0,0,0,0,1,1,1,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
,2881,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,2882,0,0,0,0,0,1,1,1,0,0.4,0.6,0.3,0.3,0.4,0.4,0.5,0.2,0.4
,2903,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.6,0.1,0.2,0.1,0.1,0.1
,2907,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.4,0.3,0.3,0.1,0.2,0.1
,2908,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,2950,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.4
0,2993,0,0,0,0,0,1,1,0,0,0.3,0.4,0.4,0.6,0.3,0.3,0.1,0.5,0.1
,2997,0,0,0,0,0,1,1,0,0,0.3,0.2,0.3,0.5,0.3,0.2,0.5,0.2,0.4
,3001,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,3023,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1
,3046,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,3050,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.2,0.3,0.5,0.3,0.4
,3140,0,0,0,0,0,1,0,1,0,0.3,0.6,0.2,0.5,0.3,0.2,0.2,0.2,0.4
,3215,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.6,0.3,0.3,0.1,0.2,0.1
0,3254,0,0,0,0,0,1,1,0,0,0.3,0.6,0.4,0.4,0.2,0.3,0.5,0.5,0.4
1,3394,0,0,0,0,0,1,1,0,0,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.4
1,3403,0,0,0,0,0,0,0,0,0,0.3,0.2,0.4,0.5,0.3,0.3,0.1,0.2,0.1
1,3441,0,0,0,0,0,1,1,0,0,0.4,0.6,0.3,0.4,0.4,0.3,0.5,0.2,0.4
,3487,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,3496,0,0,0,0,0,1,1,1,1,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.2,0.4
,3524,0,0,0,0,0,1,0,0,1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.3
1,3618,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.3,0.2,0.1,0.2,0.1
1,3711,0,0,0,0,0,1,1,0,0,0.3,0.2,0.3,0.5,0.3,0.3,0.2,0.2,0.4
0,3767,0,0,0,0,0,1,1,1,1,0.4,0.1,0.2,0.6,0.1,0.2,0.3,0.1,0.3
1,3866,0,0,0,0,0,1,1,1,0,0.3,0.3,0.3,0.3,0.2,0.4,0.1,0.3,0.1
1,3870,0,0,0,0,0,1,1,1,0,0.3,0.6,0.2,0.3,0.3,0.3,0.5,0.2,0.4
1,3875,0,0,0,0,0,1,1,0,0,0.3,0.5,0.2,0.4,0.3,0.2,0.1,0.2,0.1
0,3978,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.3,0.3,0.4,0.5,0.2,0.4
0,3989,0,0,0,0,0,1,1,0,0,0.4,0.1,0.5,0.3,0.1,0.2,0.1,0.1,0.1
0,3998,0,0,0,0,0,0,0,0,0,0.3,0.5,0.2,0.5,0.2,0.2,0.5,0.4,0.4
0,4031,0,0,0,0,0,1,1,0,0,0.3,0.5,0.2,0.4,0.3,0.3,0.5,0.2,0.4
,4138,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,4173,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.2,0.2,0.3,0.1,0.3,0.1
,4297,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,4316,0,0,0,0,0,1,1,1,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.4
,5009,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,5148,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.5,0.4,0.2,0.5,0.2,0.4
,5308,1,1,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
0,5393,0,0,0,0,0,0,1,0,0,0.3,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1
,5475,0,0,0,0,0,0,0,0,0,0.3,0.6,0.4,0.3,0.3,0.2,0.5,0.2,0.4
1,5611,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,5670,0,0,0,0,0,1,0,1,1,0.4,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1
0,5685,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.3,0.3,0.4,0.5,0.2,0.4
,5835,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.6,0.1,0.3,0.5,0.1,0.4
,5845,0,0,0,0,0,1,0,0,1,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.4
,5871,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,6080,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.4,0.2,0.5,0.2,0.4
,6118,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.5,0.3,0.2,0.5,0.2,0.4
,6210,0,0,0,0,0,1,1,0,1,0.4,0.1,0.5,0.3,0.1,0.2,0.2,0.1,0.3
1,6220,0,0,0,0,0,1,1,0,0,0.4,0.6,0.2,0.5,0.4,0.2,0.1,0.2,0.1
,6247,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,6290,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,6312,0,0,0,0,0,1,1,1,0,0.3,0.5,0.4,0.3,0.3,0.3,0.5,0.2,0.4
,6318,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.4
1,6363,0,1,0,0,0,1,1,0,0,0.3,0.6,0.3,0.4,0.3,0.4,0.5,0.2,0.4
1,6413,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.3,0.2,0.4,0.1,0.3,0.1
,6415,0,0,0,0,0,1,0,0,1,0.1,0.1,0.4,0.1,0.2,0.2,0.1,0.1,0.4
,6516,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,6627,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.3,0.2,0.4,0.5,0.3,0.4
,6670,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.3,0.4
1,6681,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.6,0.4,0.2,0.5,0.2,0.4
,6751,0,1,0,0,0,1,1,0,0,0.3,0.3,0.4,0.4,0.3,0.3,0.1,0.3,0.1
,6857,0,0,0,0,0,1,0,0,1,0.2,0.2,0.2,0.5,0.4,0.2,0.2,0.2,0.4
0,6911,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.5,0.3,0.2,0.2,0.2,0.3
,6918,0,1,0,0,0,1,1,0,0,0.3,0.6,0.2,0.6,0.3,0.2,0.5,0.2,0.4
,6936,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,7059,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.3,0.4,0.5,0.2,0.4
,7071,0,0,0,0,0,1,0,1,0,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.4
,7214,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.4
0,7294,0,0,0,0,0,1,1,1,0,0.3,0.2,0.3,0.3,0.2,0.4,0.1,0.2,0.1
,7320,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,7425,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,7449,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,7461,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.4,0.2,0.3,0.5,0.3,0.4
,7462,0,0,0,0,1,1,1,1,0,0.3,0.1,0.2,0.5,0.1,0.2,0.5,0.1,0.4
,7477,0,0,0,0,0,1,0,0,0,0.3,0.6,0.2,0.4,0.2,0.2,0.5,0.3,0.4
1,7524,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.4,0.2,0.2,0.1,0.3,0.1
0,7597,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.3,0.3,0.1,0.2,0.1
0,7691,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.5,0.3,0.4,0.3,0.2,0.4
1,7717,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.3,0.3,0.3,0.5,0.2,0.4
,7726,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.3,0.2,0.5,0.2,0.4
,7754,0,0,0,0,0,1,0,0,1,0.3,0.6,0.2,0.4,0.2,0.2,0.5,0.6,0.4
0,7763,0,1,0,0,0,1,1,0,0,0.3,0.5,0.3,0.3,0.2,0.2,0.5,0.3,0.4
,7870,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
,7888,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
1,7890,0,0,0,0,0,1,1,0,0,0.3,0.2,0.2,0.5,0.3,0.2,0.3,0.2,0.4
,7897,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,7927,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.2,0.2,0.5,0.4,0.4
1,7995,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.3,0.2,0.3,0.1,0.3,0.1
,8000,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
1,8032,0,0,0,0,0,1,1,1,0,0.3,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0.4
0,8040,0,0,0,0,0,1,0,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,8041,0,0,0,0,0,1,0,1,1,0.4,0.1,0.2,0.6,0.1,0.2,0.5,0.1,0.4
,8052,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1
,8096,0,0,0,0,0,1,0,0,0,0.3,0.3,0.2,0.4,0.3,0.2,0.5,0.2,0.4
0,8158,0,0,0,0,0,1,1,1,1,0.3,0.2,0.2,0.4,0.3,0.4,0.1,0.2,0.2
0,8174,0,0,0,0,0,1,1,1,0,0.2,0.2,0.3,0.3,0.2,0.4,0.1,0.3,0.1
,8250,0,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.4
0,8361,0,1,0,0,0,0,0,0,0,0.3,0.6,0.3,0.3,0.2,0.2,0.5,0.5,0.4
,8365,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,8408,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1
,8425,0,0,0,0,0,1,1,0,0,0.2,0.2,0.3,0.3,0.3,0.2,0.5,0.2,0.4
1,8478,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1
0,8485,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.4
,8517,0,0,0,0,0,1,1,1,0,0.2,0.1,0.4,0.3,0.3,0.2,0.5,0.2,0.4
,8593,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.6,0.3,0.2,0.5,0.3,0.4
,8733,0,0,0,0,0,1,1,0,1,0.3,0.3,0.2,0.5,0.3,0.2,0.1,0.2,0.1
,10020,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0.5,0.5,0.4
,10046,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,10091,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.5,0.1,0.4
0,10111,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.2,0.2,0.2,0.5,0.2,0.4
,10231,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.1,0.1,0.1
1,10299,0,0,0,0,0,1,1,1,0,0.3,0.4,0.3,0.3,0.2,0.4,0.5,0.3,0.4
,10385,0,0,0,0,0,1,1,1,0,0.4,0.1,0.3,0.4,0.1,0.2,0.1,0.1,0.1
1,10409,0,0,0,0,0,1,1,0,0,0.4,0.6,0.2,0.3,0.3,0.4,0.5,0.2,0.4
,10416,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.2,0.4
0,10489,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.4,0.3,0.2,0.5,0.2,0.4
,10536,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,10590,0,0,0,0,0,1,1,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,10603,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.6,0.1,0.3,0.1,0.1,0.1
,10608,0,0,0,0,0,1,1,1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
1,10641,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4
1,10740,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,10791,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.5,0.3,0.2,0.5,0.2,0.4
,10865,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.4,0.2,0.2,0.1,0.2,0.1
,10929,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1
,10985,0,0,0,0,0,0,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
1,11025,0,0,0,0,0,1,1,1,0,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.3,0.1
0,11039,0,0,0,0,0,1,1,0,1,0.3,0.3,0.2,0.5,0.3,0.2,0.5,0.2,0.4
,11085,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.3,0.2,0.5,0.2,0.4
,11173,0,0,0,0,0,1,1,0,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
,11310,0,0,0,0,0,1,1,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
,11643,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1
1,11723,0,1,0,0,0,1,1,0,0,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.3
1,11869,0,0,0,0,0,1,1,1,0,0.4,0.6,0.5,0.2,0.3,0.3,0.1,0.2,0.1
0,12963,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.3,0.1,0.4,0.5,0.1,0.4
,13035,0,0,0,0,0,1,1,1,1,0.2,0.2,0.2,0.5,0.3,0.2,0.1,0.2,0.1
,13037,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1
,13041,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,13140,0,0,0,0,0,1,0,1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.4
1,13162,0,0,0,0,0,1,1,0,1,0.3,0.3,0.5,0.3,0.2,0.2,0.2,0.2,0.3
,13175,0,0,0,0,0,1,0,1,0,0.3,0.6,0.2,0.4,0.3,0.3,0.3,0.2,0.4
,13348,0,0,0,0,0,1,1,0,0,0.3,0.2,0.2,0.5,0.3,0.2,0.1,0.2,0.1
,13452,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,13478,0,0,0,0,0,1,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,13498,0,1,0,0,0,0,0,0,0,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4
1,13572,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.3,0.2,0.4,0.5,0.3,0.4
0,13609,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4
,13623,0,1,0,0,0,0,0,0,0,0.3,0.5,0.3,0.3,0.3,0.3,0.1,0.2,0.1
,13642,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,13704,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1
1,13905,0,0,0,0,0,1,1,1,0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4
,13941,0,0,0,0,0,1,1,0,0,0.4,0.6,0.2,0.3,0.2,0.2,0.5,0.2,0.4
,13980,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,13985,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1
,14023,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.4,0.3,0.4,0.5,0.2,0.4
,14143,0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.4,0.3,0.3,0.1,0.2,0.1
,14155,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.3,0.2,0.3,0.1,0.3,0.1
1,14169,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.4,0.2,0.3,0.5,0.3,0.4
,14268,0,0,0,0,0,1,0,1,0,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1
,14377,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,14455,0,0,0,0,0,0,0,0,0,0.3,0.5,0.2,0.4,0.2,0.2,0.5,0.3,0.4
,14553,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4
,14559,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.5,0.3,0.3,0.3,0.2,0.4
1,14762,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.4,0.3,0.2,0.1,0.2,0.1
,14829,0,0,0,0,0,1,1,0,0,0.3,0.6,0.5,0.4,0.3,0.4,0.3,0.2,0.4
0,14869,0,0,0,0,0,1,1,1,1,0.3,0.6,0.2,0.5,0.4,0.4,0.5,0.2,0.4
